,feature_types,genome,feature_is_filtered,feature_name,feature_reference,feature_biotype,feature_length,feature_type,ensemble_id
DCAF15,Gene Expression,GRCh38,False,DCAF15_ENSG00000132017,NCBITaxon:9606,gene,763,protein_coding,ENSG00000132017
DCAF16,Gene Expression,GRCh38,False,DCAF16_ENSG00000163257,NCBITaxon:9606,gene,757,protein_coding,ENSG00000163257
DCAF17,Gene Expression,GRCh38,False,DCAF17_ENSG00000115827,NCBITaxon:9606,gene,822,protein_coding,ENSG00000115827
DCAF4,Gene Expression,GRCh38,False,DCAF4_ENSG00000119599,NCBITaxon:9606,gene,580,protein_coding,ENSG00000119599
DCAF4L1,Gene Expression,GRCh38,False,DCAF4L1_ENSG00000182308,NCBITaxon:9606,gene,4710,protein_coding,ENSG00000182308
DCAF4L2,Gene Expression,GRCh38,False,DCAF4L2_ENSG00000176566,NCBITaxon:9606,gene,3269,protein_coding,ENSG00000176566
DCAF5,Gene Expression,GRCh38,False,DCAF5_ENSG00000139990,NCBITaxon:9606,gene,2791,protein_coding,ENSG00000139990
DCAF6,Gene Expression,GRCh38,False,DCAF6_ENSG00000143164,NCBITaxon:9606,gene,1277,protein_coding,ENSG00000143164
DCAF7,Gene Expression,GRCh38,False,DCAF7_ENSG00000136485,NCBITaxon:9606,gene,1627,protein_coding,ENSG00000136485
DCAF8,Gene Expression,GRCh38,False,DCAF8_ENSG00000132716,NCBITaxon:9606,gene,932,protein_coding,ENSG00000132716
DCAF8-DT,Gene Expression,GRCh38,False,DCAF8-DT,NCBITaxon:9606,gene,584,lncRNA,ENSG00000228606
DCAF8L1,Gene Expression,GRCh38,False,DCAF8L1_ENSG00000226372,NCBITaxon:9606,gene,3458,protein_coding,ENSG00000226372
DCAF8L2,Gene Expression,GRCh38,False,DCAF8L2_ENSG00000189186,NCBITaxon:9606,gene,1262,protein_coding,ENSG00000189186
DCAKD,Gene Expression,GRCh38,False,DCAKD_ENSG00000172992,NCBITaxon:9606,gene,1812,protein_coding,ENSG00000172992
DCANP1,Gene Expression,GRCh38,False,DCANP1_ENSG00000251380,NCBITaxon:9606,gene,3135,protein_coding,ENSG00000251380
DCBLD1,Gene Expression,GRCh38,False,DCBLD1_ENSG00000164465,NCBITaxon:9606,gene,553,protein_coding,ENSG00000164465
DCBLD2,Gene Expression,GRCh38,False,DCBLD2_ENSG00000057019,NCBITaxon:9606,gene,638,protein_coding,ENSG00000057019
DCC,Gene Expression,GRCh38,False,DCC_ENSG00000187323,NCBITaxon:9606,gene,546,protein_coding,ENSG00000187323
DCD,Gene Expression,GRCh38,False,DCD_ENSG00000161634,NCBITaxon:9606,gene,670,protein_coding,ENSG00000161634
DCDC1,Gene Expression,GRCh38,False,DCDC1_ENSG00000170959,NCBITaxon:9606,gene,3582,protein_coding,ENSG00000170959
DCDC2,Gene Expression,GRCh38,False,DCDC2_ENSG00000146038,NCBITaxon:9606,gene,3684,protein_coding,ENSG00000146038
DCDC2B,Gene Expression,GRCh38,False,DCDC2B_ENSG00000222046,NCBITaxon:9606,gene,1606,protein_coding,ENSG00000222046
DCDC2C,Gene Expression,GRCh38,False,DCDC2C_ENSG00000214866,NCBITaxon:9606,gene,717,protein_coding,ENSG00000214866
DCHS1,Gene Expression,GRCh38,False,DCHS1_ENSG00000166341,NCBITaxon:9606,gene,5561,protein_coding,ENSG00000166341
DCHS1-AS1,Gene Expression,GRCh38,False,DCHS1-AS1,NCBITaxon:9606,gene,820,lncRNA,ENSG00000255390
DCHS2,Gene Expression,GRCh38,False,DCHS2_ENSG00000197410,NCBITaxon:9606,gene,2194,protein_coding,ENSG00000197410
DCK,Gene Expression,GRCh38,False,DCK_ENSG00000156136,NCBITaxon:9606,gene,2453,protein_coding,ENSG00000156136
DCLK1,Gene Expression,GRCh38,False,DCLK1_ENSG00000133083,NCBITaxon:9606,gene,4654,protein_coding,ENSG00000133083
DCLK2,Gene Expression,GRCh38,False,DCLK2_ENSG00000170390,NCBITaxon:9606,gene,2298,protein_coding,ENSG00000170390
DCLK3,Gene Expression,GRCh38,False,DCLK3_ENSG00000163673,NCBITaxon:9606,gene,5344,protein_coding,ENSG00000163673
DCLRE1A,Gene Expression,GRCh38,False,DCLRE1A_ENSG00000198924,NCBITaxon:9606,gene,4241,protein_coding,ENSG00000198924
DCLRE1B,Gene Expression,GRCh38,False,DCLRE1B_ENSG00000118655,NCBITaxon:9606,gene,2589,protein_coding,ENSG00000118655
DCLRE1C,Gene Expression,GRCh38,False,DCLRE1C_ENSG00000152457,NCBITaxon:9606,gene,2451,protein_coding,ENSG00000152457
DCN,Gene Expression,GRCh38,False,DCN_ENSG00000011465,NCBITaxon:9606,gene,751,protein_coding,ENSG00000011465
DCP1A,Gene Expression,GRCh38,False,DCP1A_ENSG00000272886,NCBITaxon:9606,gene,737,protein_coding,ENSG00000272886
DCP1B,Gene Expression,GRCh38,False,DCP1B_ENSG00000151065,NCBITaxon:9606,gene,1547,protein_coding,ENSG00000151065
DCP2,Gene Expression,GRCh38,False,DCP2_ENSG00000172795,NCBITaxon:9606,gene,1302,protein_coding,ENSG00000172795
DCPS,Gene Expression,GRCh38,False,DCPS_ENSG00000110063,NCBITaxon:9606,gene,1912,protein_coding,ENSG00000110063
DCST1,Gene Expression,GRCh38,False,DCST1_ENSG00000163357,NCBITaxon:9606,gene,2199,protein_coding,ENSG00000163357
DCST1-AS1,Gene Expression,GRCh38,False,DCST1-AS1,NCBITaxon:9606,gene,822,lncRNA,ENSG00000232093
DCST2,Gene Expression,GRCh38,False,DCST2_ENSG00000163354,NCBITaxon:9606,gene,2087,protein_coding,ENSG00000163354
DCSTAMP,Gene Expression,GRCh38,False,DCSTAMP_ENSG00000164935,NCBITaxon:9606,gene,639,protein_coding,ENSG00000164935
DCT,Gene Expression,GRCh38,False,DCT_ENSG00000080166,NCBITaxon:9606,gene,2395,protein_coding,ENSG00000080166
DCTD,Gene Expression,GRCh38,False,DCTD_ENSG00000129187,NCBITaxon:9606,gene,683,protein_coding,ENSG00000129187
DCTN1,Gene Expression,GRCh38,False,DCTN1_ENSG00000204843,NCBITaxon:9606,gene,650,protein_coding,ENSG00000204843
DCTN1-AS1,Gene Expression,GRCh38,False,DCTN1-AS1,NCBITaxon:9606,gene,1801,lncRNA,ENSG00000237737
DCTN2,Gene Expression,GRCh38,False,DCTN2_ENSG00000175203,NCBITaxon:9606,gene,1277,protein_coding,ENSG00000175203
DCTN3,Gene Expression,GRCh38,False,DCTN3_ENSG00000137100,NCBITaxon:9606,gene,713,protein_coding,ENSG00000137100
DCTN4,Gene Expression,GRCh38,False,DCTN4_ENSG00000132912,NCBITaxon:9606,gene,614,protein_coding,ENSG00000132912
DCTN5,Gene Expression,GRCh38,False,DCTN5_ENSG00000166847,NCBITaxon:9606,gene,758,protein_coding,ENSG00000166847
DCTN6,Gene Expression,GRCh38,False,DCTN6_ENSG00000104671,NCBITaxon:9606,gene,849,protein_coding,ENSG00000104671
DCTN6-DT,Gene Expression,GRCh38,False,DCTN6-DT,NCBITaxon:9606,gene,806,lncRNA,ENSG00000271869
DCTPP1,Gene Expression,GRCh38,False,DCTPP1_ENSG00000179958,NCBITaxon:9606,gene,865,protein_coding,ENSG00000179958
DCUN1D1,Gene Expression,GRCh38,False,DCUN1D1_ENSG00000043093,NCBITaxon:9606,gene,814,protein_coding,ENSG00000043093
DCUN1D2,Gene Expression,GRCh38,False,DCUN1D2_ENSG00000150401,NCBITaxon:9606,gene,562,protein_coding,ENSG00000150401
DCUN1D2-AS,Gene Expression,GRCh38,False,DCUN1D2-AS,NCBITaxon:9606,gene,324,lncRNA,ENSG00000233613
DCUN1D3,Gene Expression,GRCh38,False,DCUN1D3_ENSG00000188215,NCBITaxon:9606,gene,4066,protein_coding,ENSG00000188215
DCUN1D4,Gene Expression,GRCh38,False,DCUN1D4_ENSG00000109184,NCBITaxon:9606,gene,644,protein_coding,ENSG00000109184
DCUN1D5,Gene Expression,GRCh38,False,DCUN1D5_ENSG00000137692,NCBITaxon:9606,gene,808,protein_coding,ENSG00000137692
DCX,Gene Expression,GRCh38,False,DCX_ENSG00000077279,NCBITaxon:9606,gene,3019,protein_coding,ENSG00000077279
DCXR,Gene Expression,GRCh38,False,DCXR_ENSG00000169738,NCBITaxon:9606,gene,631,protein_coding,ENSG00000169738
DCXR-DT,Gene Expression,GRCh38,False,DCXR-DT,NCBITaxon:9606,gene,655,lncRNA,ENSG00000264569
DDA1,Gene Expression,GRCh38,False,DDA1_ENSG00000130311,NCBITaxon:9606,gene,560,protein_coding,ENSG00000130311
DDAH1,Gene Expression,GRCh38,False,DDAH1_ENSG00000153904,NCBITaxon:9606,gene,3939,protein_coding,ENSG00000153904
DDAH2,Gene Expression,GRCh38,False,DDAH2_ENSG00000213722,NCBITaxon:9606,gene,1214,protein_coding,ENSG00000213722
DDB1,Gene Expression,GRCh38,False,DDB1_ENSG00000167986,NCBITaxon:9606,gene,2623,protein_coding,ENSG00000167986
DDB2,Gene Expression,GRCh38,False,DDB2_ENSG00000134574,NCBITaxon:9606,gene,928,protein_coding,ENSG00000134574
DDC,Gene Expression,GRCh38,False,DDC_ENSG00000132437,NCBITaxon:9606,gene,1647,protein_coding,ENSG00000132437
DDC-AS1,Gene Expression,GRCh38,False,DDC-AS1,NCBITaxon:9606,gene,1776,lncRNA,ENSG00000226122
DDHD1,Gene Expression,GRCh38,False,DDHD1_ENSG00000100523,NCBITaxon:9606,gene,2448,protein_coding,ENSG00000100523
DDHD1-DT,Gene Expression,GRCh38,False,DDHD1-DT,NCBITaxon:9606,gene,1076,lncRNA,ENSG00000258731
DDHD2,Gene Expression,GRCh38,False,DDHD2_ENSG00000085788,NCBITaxon:9606,gene,696,protein_coding,ENSG00000085788
DDI1,Gene Expression,GRCh38,False,DDI1_ENSG00000170967,NCBITaxon:9606,gene,2557,protein_coding,ENSG00000170967
DDI2,Gene Expression,GRCh38,False,DDI2_ENSG00000197312,NCBITaxon:9606,gene,1788,protein_coding,ENSG00000197312
DDIAS,Gene Expression,GRCh38,False,DDIAS_ENSG00000165490,NCBITaxon:9606,gene,879,protein_coding,ENSG00000165490
DDIT3,Gene Expression,GRCh38,False,DDIT3_ENSG00000175197,NCBITaxon:9606,gene,921,protein_coding,ENSG00000175197
DDIT4,Gene Expression,GRCh38,False,DDIT4_ENSG00000168209,NCBITaxon:9606,gene,1744,protein_coding,ENSG00000168209
DDIT4L,Gene Expression,GRCh38,False,DDIT4L_ENSG00000145358,NCBITaxon:9606,gene,852,protein_coding,ENSG00000145358
DDIT4L-AS1,Gene Expression,GRCh38,False,DDIT4L-AS1,NCBITaxon:9606,gene,526,lncRNA,ENSG00000249710
DDN,Gene Expression,GRCh38,False,DDN_ENSG00000181418,NCBITaxon:9606,gene,3815,protein_coding,ENSG00000181418
DDN-AS1,Gene Expression,GRCh38,False,DDN-AS1,NCBITaxon:9606,gene,934,lncRNA,ENSG00000257913
DDO,Gene Expression,GRCh38,False,DDO_ENSG00000203797,NCBITaxon:9606,gene,2021,protein_coding,ENSG00000203797
DDOST,Gene Expression,GRCh38,False,DDOST_ENSG00000244038,NCBITaxon:9606,gene,766,protein_coding,ENSG00000244038
DDR1,Gene Expression,GRCh38,False,DDR1_ENSG00000204580,NCBITaxon:9606,gene,587,protein_coding,ENSG00000204580
DDR1-DT,Gene Expression,GRCh38,False,DDR1-DT,NCBITaxon:9606,gene,3994,lncRNA,ENSG00000237775
DDR2,Gene Expression,GRCh38,False,DDR2_ENSG00000162733,NCBITaxon:9606,gene,718,protein_coding,ENSG00000162733
DDRGK1,Gene Expression,GRCh38,False,DDRGK1_ENSG00000198171,NCBITaxon:9606,gene,996,protein_coding,ENSG00000198171
DDT,Gene Expression,GRCh38,False,DDT_ENSG00000099977,NCBITaxon:9606,gene,622,protein_coding,ENSG00000099977
DDTL,Gene Expression,GRCh38,False,DDTL_ENSG00000099974,NCBITaxon:9606,gene,1582,protein_coding,ENSG00000099974
DDX1,Gene Expression,GRCh38,False,DDX1_ENSG00000079785,NCBITaxon:9606,gene,2621,protein_coding,ENSG00000079785
DDX10,Gene Expression,GRCh38,False,DDX10_ENSG00000178105,NCBITaxon:9606,gene,3196,protein_coding,ENSG00000178105
DDX11,Gene Expression,GRCh38,False,DDX11_ENSG00000013573,NCBITaxon:9606,gene,881,protein_coding,ENSG00000013573
DDX11-AS1,Gene Expression,GRCh38,False,DDX11-AS1,NCBITaxon:9606,gene,1213,lncRNA,ENSG00000245614
DDX17,Gene Expression,GRCh38,False,DDX17_ENSG00000100201,NCBITaxon:9606,gene,1105,protein_coding,ENSG00000100201
DDX18,Gene Expression,GRCh38,False,DDX18_ENSG00000088205,NCBITaxon:9606,gene,901,protein_coding,ENSG00000088205
DDX19A,Gene Expression,GRCh38,False,DDX19A_ENSG00000168872,NCBITaxon:9606,gene,1178,protein_coding,ENSG00000168872
DDX19A-DT,Gene Expression,GRCh38,False,DDX19A-DT,NCBITaxon:9606,gene,1471,lncRNA,ENSG00000261777
DDX19B,Gene Expression,GRCh38,False,DDX19B_ENSG00000157349,NCBITaxon:9606,gene,1243,protein_coding,ENSG00000157349
DDX20,Gene Expression,GRCh38,False,DDX20_ENSG00000064703,NCBITaxon:9606,gene,3522,protein_coding,ENSG00000064703
DDX21,Gene Expression,GRCh38,False,DDX21_ENSG00000165732,NCBITaxon:9606,gene,4131,protein_coding,ENSG00000165732
DDX23,Gene Expression,GRCh38,False,DDX23_ENSG00000174243,NCBITaxon:9606,gene,958,protein_coding,ENSG00000174243
DDX24,Gene Expression,GRCh38,False,DDX24_ENSG00000089737,NCBITaxon:9606,gene,1512,protein_coding,ENSG00000089737
DDX25,Gene Expression,GRCh38,False,DDX25_ENSG00000109832,NCBITaxon:9606,gene,1155,protein_coding,ENSG00000109832
DDX27,Gene Expression,GRCh38,False,DDX27_ENSG00000124228,NCBITaxon:9606,gene,2570,protein_coding,ENSG00000124228
DDX28,Gene Expression,GRCh38,False,DDX28_ENSG00000182810,NCBITaxon:9606,gene,2317,protein_coding,ENSG00000182810
DDX31,Gene Expression,GRCh38,False,DDX31_ENSG00000125485,NCBITaxon:9606,gene,2343,protein_coding,ENSG00000125485
DDX39A,Gene Expression,GRCh38,False,DDX39A_ENSG00000123136,NCBITaxon:9606,gene,829,protein_coding,ENSG00000123136
DDX39B,Gene Expression,GRCh38,False,DDX39B_ENSG00000198563,NCBITaxon:9606,gene,914,protein_coding,ENSG00000198563
DDX39B-AS1,Gene Expression,GRCh38,False,DDX39B-AS1,NCBITaxon:9606,gene,485,lncRNA,ENSG00000234006
DDX3ILA1,Gene Expression,GRCh38,False,DDX3ILA1,NCBITaxon:9606,gene,564,lncRNA,ENSG00000232756
DDX3X,Gene Expression,GRCh38,False,DDX3X_ENSG00000215301,NCBITaxon:9606,gene,4245,protein_coding,ENSG00000215301
DDX3Y,Gene Expression,GRCh38,False,DDX3Y_ENSG00000067048,NCBITaxon:9606,gene,621,protein_coding,ENSG00000067048
DDX4,Gene Expression,GRCh38,False,DDX4_ENSG00000152670,NCBITaxon:9606,gene,1115,protein_coding,ENSG00000152670
DDX41,Gene Expression,GRCh38,False,DDX41_ENSG00000183258,NCBITaxon:9606,gene,819,protein_coding,ENSG00000183258
DDX42,Gene Expression,GRCh38,False,DDX42_ENSG00000198231,NCBITaxon:9606,gene,725,protein_coding,ENSG00000198231
DDX43,Gene Expression,GRCh38,False,DDX43_ENSG00000080007,NCBITaxon:9606,gene,652,protein_coding,ENSG00000080007
DDX46,Gene Expression,GRCh38,False,DDX46_ENSG00000145833,NCBITaxon:9606,gene,1175,protein_coding,ENSG00000145833
DDX47,Gene Expression,GRCh38,False,DDX47_ENSG00000213782,NCBITaxon:9606,gene,836,protein_coding,ENSG00000213782
DDX49,Gene Expression,GRCh38,False,DDX49_ENSG00000105671,NCBITaxon:9606,gene,762,protein_coding,ENSG00000105671
DDX5,Gene Expression,GRCh38,False,DDX5_ENSG00000108654,NCBITaxon:9606,gene,3684,protein_coding,ENSG00000108654
DDX50,Gene Expression,GRCh38,False,DDX50_ENSG00000107625,NCBITaxon:9606,gene,888,protein_coding,ENSG00000107625
DDX51,Gene Expression,GRCh38,False,DDX51_ENSG00000185163,NCBITaxon:9606,gene,1968,protein_coding,ENSG00000185163
DDX52,Gene Expression,GRCh38,False,DDX52_ENSG00000278053,NCBITaxon:9606,gene,2489,protein_coding,ENSG00000278053
DDX53,Gene Expression,GRCh38,False,DDX53_ENSG00000184735,NCBITaxon:9606,gene,3630,protein_coding,ENSG00000184735
DDX54,Gene Expression,GRCh38,False,DDX54_ENSG00000123064,NCBITaxon:9606,gene,675,protein_coding,ENSG00000123064
DDX55,Gene Expression,GRCh38,False,DDX55_ENSG00000111364,NCBITaxon:9606,gene,956,protein_coding,ENSG00000111364
DDX56,Gene Expression,GRCh38,False,DDX56_ENSG00000136271,NCBITaxon:9606,gene,1609,protein_coding,ENSG00000136271
DDX59,Gene Expression,GRCh38,False,DDX59_ENSG00000118197,NCBITaxon:9606,gene,807,protein_coding,ENSG00000118197
DDX59-AS1,Gene Expression,GRCh38,False,DDX59-AS1,NCBITaxon:9606,gene,736,lncRNA,ENSG00000260088
DDX6,Gene Expression,GRCh38,False,DDX6_ENSG00000110367,NCBITaxon:9606,gene,1936,protein_coding,ENSG00000110367
DDX60,Gene Expression,GRCh38,False,DDX60_ENSG00000137628,NCBITaxon:9606,gene,3659,protein_coding,ENSG00000137628
DDX60L,Gene Expression,GRCh38,False,DDX60L_ENSG00000181381,NCBITaxon:9606,gene,712,protein_coding,ENSG00000181381
DEAF1,Gene Expression,GRCh38,False,DEAF1_ENSG00000177030,NCBITaxon:9606,gene,1751,protein_coding,ENSG00000177030
DECR1,Gene Expression,GRCh38,False,DECR1_ENSG00000104325,NCBITaxon:9606,gene,679,protein_coding,ENSG00000104325
DECR2,Gene Expression,GRCh38,False,DECR2_ENSG00000242612,NCBITaxon:9606,gene,762,protein_coding,ENSG00000242612
DEDD,Gene Expression,GRCh38,False,DEDD_ENSG00000158796,NCBITaxon:9606,gene,1092,protein_coding,ENSG00000158796
DEDD2,Gene Expression,GRCh38,False,DEDD2_ENSG00000160570,NCBITaxon:9606,gene,723,protein_coding,ENSG00000160570
DEF6,Gene Expression,GRCh38,False,DEF6_ENSG00000023892,NCBITaxon:9606,gene,2228,protein_coding,ENSG00000023892
DEF8,Gene Expression,GRCh38,False,DEF8_ENSG00000140995,NCBITaxon:9606,gene,580,protein_coding,ENSG00000140995
DEFA1,Gene Expression,GRCh38,False,DEFA1,NCBITaxon:9606,gene,498,protein_coding,ENSG00000206047
DEFA1B,Gene Expression,GRCh38,False,DEFA1B_ENSG00000240247,NCBITaxon:9606,gene,494,protein_coding,ENSG00000240247
DEFA3,Gene Expression,GRCh38,False,DEFA3,NCBITaxon:9606,gene,494,protein_coding,ENSG00000239839
DEFA4,Gene Expression,GRCh38,False,DEFA4_ENSG00000164821,NCBITaxon:9606,gene,587,protein_coding,ENSG00000164821
DEFA5,Gene Expression,GRCh38,False,DEFA5_ENSG00000164816,NCBITaxon:9606,gene,454,protein_coding,ENSG00000164816
DEFA6,Gene Expression,GRCh38,False,DEFA6_ENSG00000164822,NCBITaxon:9606,gene,465,protein_coding,ENSG00000164822
DEFB1,Gene Expression,GRCh38,False,DEFB1_ENSG00000164825,NCBITaxon:9606,gene,375,protein_coding,ENSG00000164825
DEFB103A,Gene Expression,GRCh38,False,DEFB103A_ENSG00000176797,NCBITaxon:9606,gene,329,protein_coding,ENSG00000176797
DEFB103B,Gene Expression,GRCh38,False,DEFB103B,NCBITaxon:9606,gene,518,protein_coding,ENSG00000177243
DEFB104A,Gene Expression,GRCh38,False,DEFB104A,NCBITaxon:9606,gene,316,protein_coding,ENSG00000176782
DEFB104B,Gene Expression,GRCh38,False,DEFB104B,NCBITaxon:9606,gene,281,protein_coding,ENSG00000177023
DEFB105A,Gene Expression,GRCh38,False,DEFB105A_ENSG00000186562,NCBITaxon:9606,gene,1283,protein_coding,ENSG00000186562
DEFB105B,Gene Expression,GRCh38,False,DEFB105B,NCBITaxon:9606,gene,321,protein_coding,ENSG00000186599
DEFB106A,Gene Expression,GRCh38,False,DEFB106A_ENSG00000186579,NCBITaxon:9606,gene,336,protein_coding,ENSG00000186579
DEFB106B,Gene Expression,GRCh38,False,DEFB106B,NCBITaxon:9606,gene,316,protein_coding,ENSG00000187082
DEFB107A,Gene Expression,GRCh38,False,DEFB107A_ENSG00000186572,NCBITaxon:9606,gene,389,protein_coding,ENSG00000186572
DEFB107B,Gene Expression,GRCh38,False,DEFB107B,NCBITaxon:9606,gene,324,protein_coding,ENSG00000198129
DEFB108B,Gene Expression,GRCh38,False,DEFB108B_ENSG00000184276,NCBITaxon:9606,gene,489,protein_coding,ENSG00000184276
DEFB110,Gene Expression,GRCh38,False,DEFB110_ENSG00000203970,NCBITaxon:9606,gene,293,protein_coding,ENSG00000203970
DEFB112,Gene Expression,GRCh38,False,DEFB112_ENSG00000180872,NCBITaxon:9606,gene,1821,protein_coding,ENSG00000180872
DEFB113,Gene Expression,GRCh38,False,DEFB113_ENSG00000214642,NCBITaxon:9606,gene,249,protein_coding,ENSG00000214642
DEFB114,Gene Expression,GRCh38,False,DEFB114_ENSG00000177684,NCBITaxon:9606,gene,312,protein_coding,ENSG00000177684
DEFB115,Gene Expression,GRCh38,False,DEFB115_ENSG00000215547,NCBITaxon:9606,gene,267,protein_coding,ENSG00000215547
DEFB116,Gene Expression,GRCh38,False,DEFB116_ENSG00000215545,NCBITaxon:9606,gene,309,protein_coding,ENSG00000215545
DEFB118,Gene Expression,GRCh38,False,DEFB118_ENSG00000131068,NCBITaxon:9606,gene,1175,protein_coding,ENSG00000131068
DEFB119,Gene Expression,GRCh38,False,DEFB119_ENSG00000180483,NCBITaxon:9606,gene,464,protein_coding,ENSG00000180483
DEFB121,Gene Expression,GRCh38,False,DEFB121_ENSG00000204548,NCBITaxon:9606,gene,410,protein_coding,ENSG00000204548
DEFB123,Gene Expression,GRCh38,False,DEFB123_ENSG00000180424,NCBITaxon:9606,gene,354,protein_coding,ENSG00000180424
DEFB124,Gene Expression,GRCh38,False,DEFB124_ENSG00000180383,NCBITaxon:9606,gene,674,protein_coding,ENSG00000180383
DEFB125,Gene Expression,GRCh38,False,DEFB125_ENSG00000178591,NCBITaxon:9606,gene,1193,protein_coding,ENSG00000178591
DEFB126,Gene Expression,GRCh38,False,DEFB126_ENSG00000125788,NCBITaxon:9606,gene,366,protein_coding,ENSG00000125788
DEFB127,Gene Expression,GRCh38,False,DEFB127_ENSG00000088782,NCBITaxon:9606,gene,530,protein_coding,ENSG00000088782
DEFB128,Gene Expression,GRCh38,False,DEFB128_ENSG00000185982,NCBITaxon:9606,gene,403,protein_coding,ENSG00000185982
DEFB129,Gene Expression,GRCh38,False,DEFB129_ENSG00000125903,NCBITaxon:9606,gene,698,protein_coding,ENSG00000125903
DEFB130A,Gene Expression,GRCh38,False,DEFB130A,NCBITaxon:9606,gene,240,protein_coding,ENSG00000232948
DEFB130B,Gene Expression,GRCh38,False,DEFB130B_ENSG00000233050,NCBITaxon:9606,gene,240,protein_coding,ENSG00000233050
DEFB131A,Gene Expression,GRCh38,False,DEFB131A_ENSG00000186146,NCBITaxon:9606,gene,485,protein_coding,ENSG00000186146
DEFB131B,Gene Expression,GRCh38,False,DEFB131B_ENSG00000225805,NCBITaxon:9606,gene,213,protein_coding,ENSG00000225805
DEFB132,Gene Expression,GRCh38,False,DEFB132_ENSG00000186458,NCBITaxon:9606,gene,2133,protein_coding,ENSG00000186458
DEFB133,Gene Expression,GRCh38,False,DEFB133_ENSG00000214643,NCBITaxon:9606,gene,184,transcribed_unprocessed_pseudogene,ENSG00000214643
DEFB134,Gene Expression,GRCh38,False,DEFB134_ENSG00000205882,NCBITaxon:9606,gene,1085,protein_coding,ENSG00000205882
DEFB135,Gene Expression,GRCh38,False,DEFB135_ENSG00000205883,NCBITaxon:9606,gene,299,protein_coding,ENSG00000205883
DEFB136,Gene Expression,GRCh38,False,DEFB136_ENSG00000205884,NCBITaxon:9606,gene,237,protein_coding,ENSG00000205884
DEFB4A,Gene Expression,GRCh38,False,DEFB4A_ENSG00000171711,NCBITaxon:9606,gene,337,protein_coding,ENSG00000171711
DEFB4B,Gene Expression,GRCh38,False,DEFB4B,NCBITaxon:9606,gene,337,protein_coding,ENSG00000177257
DEGS1,Gene Expression,GRCh38,False,DEGS1_ENSG00000143753,NCBITaxon:9606,gene,795,protein_coding,ENSG00000143753
DEGS2,Gene Expression,GRCh38,False,DEGS2_ENSG00000168350,NCBITaxon:9606,gene,840,protein_coding,ENSG00000168350
DEK,Gene Expression,GRCh38,False,DEK_ENSG00000124795,NCBITaxon:9606,gene,2246,protein_coding,ENSG00000124795
DELE1,Gene Expression,GRCh38,False,DELE1_ENSG00000081791,NCBITaxon:9606,gene,998,protein_coding,ENSG00000081791
DELEC1,Gene Expression,GRCh38,False,DELEC1,NCBITaxon:9606,gene,1064,lncRNA,ENSG00000173077
DENND10,Gene Expression,GRCh38,False,DENND10_ENSG00000119979,NCBITaxon:9606,gene,851,protein_coding,ENSG00000119979
DENND11,Gene Expression,GRCh38,False,DENND11_ENSG00000257093,NCBITaxon:9606,gene,4578,protein_coding,ENSG00000257093
DENND1A,Gene Expression,GRCh38,False,DENND1A_ENSG00000119522,NCBITaxon:9606,gene,1121,protein_coding,ENSG00000119522
DENND1B,Gene Expression,GRCh38,False,DENND1B_ENSG00000213047,NCBITaxon:9606,gene,2137,protein_coding,ENSG00000213047
DENND1C,Gene Expression,GRCh38,False,DENND1C_ENSG00000205744,NCBITaxon:9606,gene,725,protein_coding,ENSG00000205744
DENND2A,Gene Expression,GRCh38,False,DENND2A_ENSG00000146966,NCBITaxon:9606,gene,2081,protein_coding,ENSG00000146966
DENND2B,Gene Expression,GRCh38,False,DENND2B_ENSG00000166444,NCBITaxon:9606,gene,588,protein_coding,ENSG00000166444
DENND2B-AS1,Gene Expression,GRCh38,False,DENND2B-AS1,NCBITaxon:9606,gene,477,lncRNA,ENSG00000255159
DENND2C,Gene Expression,GRCh38,False,DENND2C_ENSG00000175984,NCBITaxon:9606,gene,2990,protein_coding,ENSG00000175984
DENND2D,Gene Expression,GRCh38,False,DENND2D_ENSG00000162777,NCBITaxon:9606,gene,898,protein_coding,ENSG00000162777
DENND3,Gene Expression,GRCh38,False,DENND3_ENSG00000105339,NCBITaxon:9606,gene,1104,protein_coding,ENSG00000105339
DENND3-AS1,Gene Expression,GRCh38,False,DENND3-AS1,NCBITaxon:9606,gene,776,lncRNA,ENSG00000253210
DENND4A,Gene Expression,GRCh38,False,DENND4A_ENSG00000174485,NCBITaxon:9606,gene,2655,protein_coding,ENSG00000174485
DENND4B,Gene Expression,GRCh38,False,DENND4B_ENSG00000198837,NCBITaxon:9606,gene,551,protein_coding,ENSG00000198837
DENND4C,Gene Expression,GRCh38,False,DENND4C_ENSG00000137145,NCBITaxon:9606,gene,3479,protein_coding,ENSG00000137145
DENND5A,Gene Expression,GRCh38,False,DENND5A_ENSG00000184014,NCBITaxon:9606,gene,4362,protein_coding,ENSG00000184014
DENND5B,Gene Expression,GRCh38,False,DENND5B_ENSG00000170456,NCBITaxon:9606,gene,1723,protein_coding,ENSG00000170456
DENND5B-AS1,Gene Expression,GRCh38,False,DENND5B-AS1,NCBITaxon:9606,gene,835,lncRNA,ENSG00000255867
DENND6A,Gene Expression,GRCh38,False,DENND6A_ENSG00000174839,NCBITaxon:9606,gene,453,protein_coding,ENSG00000174839
DENND6A-AS1,Gene Expression,GRCh38,False,DENND6A-AS1,NCBITaxon:9606,gene,364,lncRNA,ENSG00000239801
